brand_name,model_name,battery_type,resolution,os,video_4K,ram(GB),storage(GB),popularity,best_price,lowest_price,highest_price,sellers_amount,screen_size,memory_size,battery_size
38,1,0,720x1280,11,0,3,32,5.308267697401205,8.521185212685776,4574.0,167,1.0,5.8,64,1
103,1,1,1080x2400,193,1,8,64,7.087573705557973,9.77741399528076,13134.0,1,59.5,6.5,128,36
27,1,0,1440x2560,32,1,6,64,4.897839799950911,8.511778558714738,4733.0,1,6.0,6.21,64,23
60,1,1,1080x2400,68,1,8,128,6.736966958001855,9.796848442046416,13134.0,3,24.0,6.1,64,5
14,2,1,1080x2340,139,1,8,64,5.683579767338681,5.605802066295998,227.0,2,10.0,3.4,64,18
24,1,1,1080x2400,166,0,6,128,6.240275845170769,9.59280976029003,4574.0,167,1.0,6.44,128,13
103,1,1,720x1520,139,0,4,64,7.083387847625295,8.87332798950246,6497.0,5,59.5,6.5,64,88
103,2,1,1080x2340,193,1,6,64,5.2574953720277815,9.856160068128911,13134.0,2,2.0,6.7,128,36
39,2,0,1080x2340,193,1,8,128,6.269096283706261,8.537975730598767,4399.0,2,9.0,6.4,64,88
6,2,0,720x1280,14,0,2,32,4.875197323201151,5.529429087511423,220.0,3,20.0,3.4,32,9
39,2,1,720x1560,193,0,4,32,6.289715570908998,8.537975730598767,4399.0,2,9.0,6.4,64,88
19,1,0,1080x2280,139,1,12,256,6.456769655572163,8.25582842728183,4574.0,167,1.0,5.7,64,20
7,1,1,1080x2400,193,1,8,128,6.616065185132817,6.269096283706261,501.0,1,8.0,3.4,32,9
24,1,0,720x1280,10,0,2,16,6.948897222313312,8.506334448081361,4699.0,1,27.0,6.5,128,74
60,1,1,1080x2400,68,1,8,128,7.10002716662926,9.559940347242952,11000.0,1,25.0,5.8,64,1
60,1,1,1200x2652,68,1,8,256,7.013915474810528,9.650722071987907,13134.0,1,59.5,4.7,128,2
58,1,1,1080x2400,166,0,8,64,6.48768401848461,8.106816038947052,3233.0,1,2.0,5.84,32,88
60,1,1,1080x2400,68,0,8,128,5.831882477283517,8.68084148294457,5889.0,1,2.0,5.5,64,4
6,1,1,1080x2340,193,1,8,128,5.3612921657094255,9.619000370980867,4574.0,167,1.0,5.99,64,10
58,1,1,720x1600,193,0,8,128,7.090076835776092,8.639056779173078,5399.0,1,49.0,6.53,128,10
6,2,0,720x1280,10,0,4,32,5.4116460518550396,6.733401891837359,4574.0,167,1.0,4.0,8,4
14,1,0,720x1440,63,0,2,16,6.558197802812269,8.28121766128665,3799.0,5,4.0,6.22,64,3
103,1,1,1080x2310,193,0,8,128,6.212606095751519,9.433403920090221,4574.0,167,1.0,5.8,128,14
27,2,0,480x854,2,0,1,8,5.19295685089021,8.296297112642508,4574.0,167,1.0,5.84,64,54
39,1,1,1080x2400,193,0,6,128,6.343880434126331,9.189116735524555,4574.0,167,1.0,6.4,128,88
24,1,0,1080x2220,11,0,6,32,7.037905963447182,8.688790784847216,5599.0,1,20.0,6.5,128,12
103,1,0,1242x2688,4,1,4,64,7.016609683894219,8.781094735202615,5894.0,2,59.5,6.4,128,74
27,3,0,1440x2960,45,1,4,64,4.890349128221754,7.925157512224703,4574.0,167,1.0,5.2,16,14
4,1,1,720x1520,139,0,4,32,6.650279048587422,5.749392985908253,239.0,2,25.0,3.4,64,27
14,1,1,1080x2400,166,1,8,128,6.966024187106113,9.436280010592395,12020.0,1,20.0,6.5,256,88
103,1,1,1176x2400,193,1,8,128,4.844187086458591,9.017119634313227,8107.0,1,8.0,6.4,128,88
15,1,0,720x1280,32,0,3,16,7.01301578963963,8.68710472813351,5290.0,1,11.0,6.0,128,14
6,1,0,540x960,5,0,1,16,6.866933284461882,8.440312147080279,4377.0,1,10.0,6.39,64,2
20,1,0,1080x2280,139,1,8,128,6.559615237493242,7.721791776817535,2199.0,1,4.0,5.45,32,19
103,1,1,1080x2400,193,1,6,64,7.098375638590786,9.856160068128911,13134.0,1,59.5,6.2,128,88
16,2,1,720x1600,193,0,3,64,6.2324480165505225,8.537191877922927,4999.0,2,7.0,6.3,64,7
60,1,1,1440x3200,68,1,8,128,6.7357800142423265,9.856160068128911,13134.0,1,47.0,6.5,512,4
11,1,1,1080x2340,193,0,6,64,6.113682179832232,8.682538124003075,4574.0,167,1.0,5.5,128,1
28,1,1,1080x2400,193,1,8,128,6.752270376141742,8.669227347271736,5649.0,1,3.0,6.15,128,3
13,2,1,1080x2400,68,1,6,128,4.553876891600541,6.597145701886651,647.0,2,29.0,3.4,32,6
39,1,1,720x1600,193,1,8,128,5.7745515455444085,8.56483984488359,4999.0,2,2.0,5.5,64,54
60,1,1,1080x2400,68,1,8,128,6.77078942390898,9.856160068128911,13134.0,1,33.0,6.7,512,5
13,1,1,1080x2412,166,1,8,128,6.831953565565855,6.39024066706535,542.0,3,28.0,3.4,32,2
27,2,1,1080x2240,63,1,8,64,6.645090969505644,7.823645930834952,4574.0,167,1.0,5.7,32,14
13,1,1,1080x2408,68,0,8,64,6.198478716492308,5.393627546352362,209.0,2,4.0,3.4,64,9
9,1,1,1080x2400,166,1,8,128,5.877735781779639,9.856160068128911,4574.0,167,1.0,6.5,256,88
38,2,0,1080x2160,11,0,6,32,6.577861357721047,7.8504931808711405,2389.0,3,35.0,3.4,4,7
103,1,1,1080x2400,193,1,8,64,7.076653815443951,9.031094081699155,7429.0,2,55.0,6.5,128,7
103,1,1,720x1560,139,0,3,64,4.5217885770490405,9.729015110685573,13134.0,1,8.0,5.8,128,54
27,1,0,720x1280,32,0,3,32,4.2626798770413155,9.29330189269053,10631.0,1,2.0,5.8,64,23
7,2,1,1080x2400,193,1,8,128,5.488937726156687,6.825460036255307,843.0,3,2.0,3.4,64,18
8,1,1,1080x2340,139,1,8,64,5.5254529391317835,6.212606095751519,4574.0,167,2.0,3.4,16,4
24,1,0,1080x2220,45,0,4,32,6.0867747269123065,6.690842277418564,691.0,2,32.0,3.4,32,13
9,1,1,1080x2400,68,1,8,128,6.97166860472579,9.856160068128911,13134.0,3,20.0,6.5,256,88
5,1,1,1080x2400,166,1,8,128,6.403574197934815,6.173786103901937,459.0,1,33.0,3.4,32,18
9,1,0,1080x2400,166,0,8,128,6.697034247666484,8.462103225098277,4299.0,4,40.0,6.51,64,74
58,1,1,1080x2400,166,1,8,128,6.777646593635117,7.935229539816907,2670.0,2,5.0,5.45,32,54
9,1,1,1440x3216,68,1,8,128,6.329720905522696,8.556221578383715,4574.0,167,1.0,5.2,64,3
103,1,1,1080x2400,139,0,8,64,6.535241271013659,8.681520484837913,5570.0,1,6.0,6.0,64,20
33,2,1,720x1600,193,0,4,32,6.016157159698354,6.525029657843462,599.0,5,41.0,3.4,64,14
58,1,1,720x1600,193,0,4,64,7.025538314638521,8.826294231241318,6435.0,1,31.0,6.53,128,36
11,1,1,720x1600,193,0,4,64,7.091742115095153,9.66179808393482,13134.0,1,33.0,6.24,128,1
103,1,1,720x1520,193,0,3,32,3.4339872044851463,8.611411866655219,4574.0,167,1.0,5.7,32,54
58,1,1,1080x2400,166,1,8,128,7.037027614686276,8.952217101765946,7350.0,3,16.0,6.67,128,36
39,1,1,1080x2340,139,0,6,128,6.635946555686647,8.144388865547622,3399.0,1,2.0,6.1,64,54
103,1,1,720x1520,139,0,3,32,6.811244378601294,8.970050661827003,7640.0,1,2.0,5.8,64,54
33,1,1,1080x2408,166,1,8,128,6.71174039505618,7.844632644464681,2199.0,5,42.0,5.0,8,74
60,1,1,1080x2412,68,0,8,128,6.952728644624869,9.856160068128911,13134.0,2,38.0,6.7,128,5
39,1,0,1080x2400,193,1,8,256,6.18826412308259,8.158802490694002,3199.0,1,2.0,5.7,32,54
103,1,1,1080x2400,193,1,8,128,4.976733742420574,8.493310250952906,4650.0,4,3.0,6.4,32,88
39,2,1,1080x2340,139,1,6,64,5.594711379601839,8.628734566149145,4574.0,167,1.0,5.4,32,2
5,1,0,1080x2340,63,0,6,64,6.432940092739179,7.8156105320351905,4574.0,167,1.0,6.53,32,4
39,1,0,1440x3200,166,1,16,128,6.717804695023691,9.856160068128911,13134.0,2,3.0,6.4,128,2
34,1,0,720x1480,5,0,1,16,6.744059186311348,8.232706009860976,3590.0,1,29.0,5.7,32,7
24,1,1,1080x2280,63,1,6,64,4.997212273764115,8.922391597295857,7349.0,1,3.0,5.7,64,1
11,1,1,1080x2340,193,0,8,128,6.598509028614515,9.856160068128911,13134.0,1,6.0,6.3,128,3
14,1,1,1080x2340,139,1,6,64,5.389071729816501,6.259581464064923,447.0,4,8.0,3.4,64,6
38,1,0,720x1280,32,0,2,32,6.429719478039138,8.24800570160062,3792.0,1,2.0,5.5,32,54
13,1,0,720x1440,14,0,3,32,6.9985096422506015,9.856160068128911,13134.0,1,32.0,6.78,256,2
